#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord      ---- domain strat stats ----- 
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc   q-value local FDR  FDR|lFDR description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- --------- --------- --------- ---------------------
POT1PC               PF16686.5    155 PF3D7_1010700        -            223   7.1e-09   21.9   0.9   1   1     2e-08     2e-08   20.5   0.9    27   136    20   138     6   158 0.73   0.00011         1         1 ssDNA-binding domain of telomere protection protein
MATH                 PF00917.26   113 PF3D7_1010700        -            223   7.1e-07   15.7   5.0   1   1   7.9e-07   7.9e-07   15.5   3.0    19    87   112   178    97   197 0.80    0.0043         1         1 MATH domain
RNR_Alpha            PF17975.1    101 PF3D7_0528300        -            496   4.7e-06   13.4   0.0   1   1   2.1e-05   2.1e-05   11.3   0.0    14    46   188   219   180   231 0.88      0.11      0.32    0.0089 Ribonucleotide reductase alpha domain
I-set                PF07679.16    90 PF3D7_0528300        -            496   9.6e-06   11.9   0.7   1   1   2.9e-05   2.9e-05   10.4   0.7    40    78   296   333   287   342 0.82      0.16         1         1 Immunoglobulin I-set domain
Atrophin-1           PF03154.15   980 PF3D7_0504800        -           5639   1.4e-07   16.2   0.4   1   1   1.4e-07   1.4e-07   16.2   0.4   485   608  1210  1337  1180  1350 0.71   0.00076         1         1 Atrophin-1 family
TRP                  PF06011.12   426 PF3D7_1326300        -            527   2.2e-06   12.7   0.0   1   1   3.8e-06   3.8e-06   11.9   0.0   113   156   167   219    46   221 0.73     0.021         1         1 Transient receptor potential (TRP) ion channel
RRM_1                PF00076.22    70 PF3D7_1326300        -            527   6.2e-14   37.9   0.3   1   2   6.3e-08   6.3e-08   18.7   0.0    21    66   277   317   276   321 0.85   3.5e-06   0.00018   6.1e-06 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
FUSC-like            PF12805.7    284 PF3D7_1326300        -            527     1e-05   10.9   0.5   1   1   2.1e-05   2.1e-05    9.8   0.5   211   280   304   374   297   382 0.81      0.11         1         1 FUSC-like inner membrane protein yccS
PRIMA1               PF16101.5    121 PF3D7_1326300        -            527   1.9e-05   10.9   2.7   1   1   2.7e-05   2.7e-05   10.4   0.0    24    65   381   425   360   434 0.51     0.073         1         1 Proline-rich membrane anchor 1
RRM_1                PF00076.22    70 PF3D7_1326300        -            527   6.2e-14   37.9   0.3   2   2   2.4e-07   2.4e-07   16.9   0.1    12    70   441   503   436   503 0.88   1.3e-05   0.00027   1.1e-05 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
tRNA-synt_1          PF00133.22   602 PF3D7_1225100        -           1696   8.3e-64  201.8  37.8   1   5   3.6e-19   3.6e-19   54.4   0.1    25    92   250   316   221   347 0.84   2.8e-16   1.4e-14   9.2e-17 tRNA synthetases class I (I, L, M and V)
tRNA-synt_1          PF00133.22   602 PF3D7_1225100        -           1696   8.3e-64  201.8  37.8   2   5   1.7e-24   1.7e-24   72.0  11.2    89   311   373   710   362   768 0.82   1.8e-21   4.9e-17   2.6e-19 tRNA synthetases class I (I, L, M and V)
tRNA-synt_1          PF00133.22   602 PF3D7_1225100        -           1696   8.3e-64  201.8  37.8   3   5   2.9e-18   2.9e-18   51.4   1.9   357   433   848   926   837   946 0.89     2e-15   5.5e-14   5.7e-16 tRNA synthetases class I (I, L, M and V)
tRNA-synt_1          PF00133.22   602 PF3D7_1225100        -           1696   8.3e-64  201.8  37.8   4   5     2e-05     2e-05    9.0   0.2   505   537  1081  1114  1039  1123 0.84    0.0064         1         1 tRNA synthetases class I (I, L, M and V)
tRNA-synt_1          PF00133.22   602 PF3D7_1225100        -           1696   8.3e-64  201.8  37.8   5   5   3.1e-10   3.1e-10   24.9   0.2   546   601  1205  1327  1183  1328 0.91   1.2e-07   0.00026   9.9e-06 tRNA synthetases class I (I, L, M and V)
Anticodon_1          PF08264.13   152 PF3D7_1225100        -           1696   1.3e-26   79.6   1.3   1   1   1.3e-26   1.3e-26   79.6   1.3     1   112  1377  1512  1377  1559 0.83     6e-23     6e-23   2.7e-25 Anticodon-binding domain of tRNA
zf-FPG_IleRS         PF06827.14    30 PF3D7_1225100        -           1696   3.5e-09   22.7   3.4   1   1   5.7e-09   5.7e-09   22.1   2.5     2    29  1664  1689  1663  1690 0.93   3.1e-05         1         1 Zinc finger found in FPG and IleRS
Fer2                 PF00111.27    78 PF3D7_1318100        -            194   3.6e-22   64.5   2.5   1   1   5.8e-22   5.8e-22   63.8   2.5     4    78   107   178   104   178 0.89   3.2e-18   2.6e-10   2.2e-12 2Fe-2S iron-sulfur cluster binding domain
PP-binding_2         PF14573.6     96 PF3D7_1127900        -            409   1.1e-05   12.0   0.3   1   1   6.1e-05   6.1e-05    9.5   0.0    39    90    69   119    58   125 0.80      0.17         1         1 Acyl-carrier
ANAPC3               PF12895.7     82 PF3D7_0810900.1      -            345   1.4e-05   11.5   0.5   1   1   4.4e-05   4.4e-05   10.0   0.5     4    49   126   176   124   185 0.73     0.034      0.13    0.0043 Anaphase-promoting complex, cyclosome, subunit 3
Dpoe2NT              PF12213.8     73 PF3D7_0810900.1      -            345   3.8e-05   10.3   0.3   1   1   9.2e-05   9.2e-05    9.0   0.3    16    53   168   204   166   215 0.90       0.5         1         1 DNA polymerases epsilon N terminal
TPR_2                PF07719.17    34 PF3D7_1136800        -            369     5e-09   22.3   1.3   1   1   2.2e-08   2.2e-08   20.3   0.1     3    33    10    40     8    41 0.93     3e-05   9.8e-05     3e-06 Tetratricopeptide repeat
Acyltransf_C         PF16076.5     74 PF3D7_1136800        -            369   6.2e-06   12.6   0.1   1   1   6.2e-06   6.2e-06   12.6   0.1    27    53    78   104    67   131 0.80     0.034      0.22    0.0073 Acyltransferase C-terminus
DnaJ                 PF00226.31    63 PF3D7_1136800        -            369   9.4e-26   76.1   3.9   1   1   9.4e-26   9.4e-26   76.1   3.9     1    63   103   164   103   164 0.99     3e-23   8.4e-21   3.7e-23 DnaJ domain
Pox_EPC_I2-L1        PF12575.8     72 PF3D7_1136800        -            369   3.9e-05   10.2   0.7   1   1   9.1e-05   9.1e-05    9.0   0.7     4    64   193   252   191   258 0.57       0.5         1         1 Poxvirus entry protein complex L1 and I2
CRISPR_assoc         PF08798.11   227 PF3D7_1013600        -           2238   1.5e-05   11.3   1.3   1   1   3.4e-05   3.4e-05   10.2   1.3    61   199  1984  2122  1960  2130 0.69      0.18         1         1 CRISPR associated protein
DUF3440              PF11922.8    182 PF3D7_1214700        -            154   7.9e-06   11.8   0.3   1   1   9.3e-06   9.3e-06   11.6   0.3    67   155    48   137     8   149 0.70     0.051         1         1 Domain of unknown function (DUF3440)
Flp_Fap              PF04964.14    46 PF3D7_1459900        -            193   9.1e-06   11.8   2.1   1   1   2.5e-05   2.5e-05   10.4   2.1     9    43    23    60    20    63 0.73      0.14         1         1 Flp/Fap pilin component
Ndc1_Nup             PF09531.10   611 PF3D7_1323900        -            376   7.6e-05    7.6   5.0   1   1   9.9e-05   9.9e-05    7.2   5.0   342   467     6   137     3   211 0.58      0.54         1         1 Nucleoporin protein Ndc1-Nup
BCIP                 PF13862.6    206 PF3D7_1323900        -            376   5.2e-39  120.3  12.9   1   1   5.2e-39   5.2e-39  120.3  12.9     2   172   125   307   124   357 0.83   2.8e-35         1         1 p21-C-terminal region-binding protein
KcnmB2_inactiv       PF09303.10    32 PF3D7_1147200        -           2755   3.5e-06   13.1   0.3   1   1   1.8e-05   1.8e-05   10.8   0.3     6    22  2411  2427  2409  2428 0.94     0.098         1         1 KCNMB2, ball and chain domain
DUF2096              PF09869.9    169 PF3D7_0925900        -            217   9.3e-06   12.0   0.1   1   1   1.9e-05   1.9e-05   11.0   0.1   104   166    96   157    70   160 0.90       0.1         1         1 Uncharacterized protein conserved in archaea (DUF2096)
Brix                 PF04427.18   193 PF3D7_0921800        -            328   3.9e-19   55.6   2.9   1   1   3.9e-19   3.9e-19   55.6   2.9     4   191   132   296   130   298 0.82   5.3e-16   1.7e-15   1.7e-17 Brix domain
PP2C                 PF00481.21   258 PF3D7_1455000        -            410   2.4e-49  154.4   0.0   1   1   3.3e-49   3.3e-49  153.9   0.0     5   258    24   271    20   271 0.90     6e-46   3.3e-45   2.6e-47 Protein phosphatase 2C
DUF2102              PF09875.9    103 PF3D7_1455000        -            410   3.1e-05   10.0   0.1   1   1   8.1e-05   8.1e-05    8.6   0.1    14    65   311   362   298   366 0.92      0.44         1         1 Uncharacterized protein conserved in archaea (DUF2102)
Ribosomal_L26        PF16906.5     82 PF3D7_0312800        -            126   8.9e-40  121.4   5.4   1   1   1.1e-39   1.1e-39  121.1   5.4     1    82     8   121     8   121 1.00     6e-36         1         1 Ribosomal proteins L26 eukaryotic, L24P archaeal
KOW                  PF00467.29    32 PF3D7_0312800        -            126   2.4e-12   32.8   1.0   1   1   2.4e-12   2.4e-12   32.8   1.0     1    32    51    82    51    82 0.97   6.5e-09   2.6e-08   3.2e-10 KOW motif
Sortilin-Vps10       PF15902.5    446 PF3D7_1451800        -            895    6e-107  344.2  17.9   1   2     2e-54     2e-54  171.1  10.7     2   292    99   418    98   431 0.90   5.4e-51         1         1 Sortilin, neurotensin receptor 3,
Sortilin-Vps10       PF15902.5    446 PF3D7_1451800        -            895    6e-107  344.2  17.9   2   2   2.3e-56   2.3e-56  177.5   0.7   283   446   439   599   432   599 0.91   1.3e-52   1.1e-50   8.1e-53 Sortilin, neurotensin receptor 3,
Sortilin_C           PF15901.5    170 PF3D7_1451800        -            895   8.5e-42  129.5   2.0   1   1   1.8e-41   1.8e-41  128.4   2.0     2   169   602   759   601   760 0.88   9.8e-38         1         1 Sortilin, neurotensin receptor 3, C-terminal
UBA_4                PF14555.6     43 PF3D7_1124200        -            419     9e-10   24.6   0.1   1   1   1.8e-09   1.8e-09   23.7   0.1    13    41    17    45     5    47 0.89   4.9e-06   0.00081   2.5e-05 UBA-like domain
Thioredoxin_7        PF13899.6     83 PF3D7_1124200        -            419   2.8e-10   26.6   0.1   1   1   7.8e-10   7.8e-10   25.2   0.1     6    81   152   228   149   230 0.79   4.2e-06      0.22    0.0073 Thioredoxin-like
DUF3439              PF11921.8    122 PF3D7_1124200        -            419   1.7e-06   14.3   4.1   1   1   4.3e-06   4.3e-06   13.0   4.1    30    59   270   299   242   305 0.74     0.023      0.22    0.0073 Domain of unknown function (DUF3439)
Triabin              PF03973.13   148 PF3D7_1124200        -            419   2.6e-06   13.6   0.4   1   1   2.6e-06   2.6e-06   13.6   0.4    12    54   361   403   352   418 0.85     0.014         1         1 Triabin
Cyclin_N             PF00134.23   127 PF3D7_0802400        -            714     5e-09   22.2   0.7   1   1     5e-09     5e-09   22.2   0.7    29    90   227   293   203   341 0.73   6.8e-06   0.00029   1.1e-05 Cyclin, N-terminal domain
Stevor               PF17410.2    275 PF3D7_1254600        -            302  1.8e-142  459.8   3.1   1   1  2.1e-142  2.1e-142  459.7   3.1     1   275    31   302    31   302 0.99  5.7e-140  1.3e-138  1.3e-140 Subtelomeric Variable Open Reading frame
DUF520               PF04461.13   161 PF3D7_0524500        -            123   4.1e-07   16.4   0.2   1   1   4.7e-07   4.7e-07   16.2   0.2    27   112     6    93     2   113 0.88    0.0026    0.0078   0.00024 Protein of unknown function (DUF520)
eRF1_1               PF03463.15   129 PF3D7_0722100        -            403   8.5e-41  125.2   1.6   1   1     2e-40     2e-40  124.0   1.6     1   128     1   127     1   128 0.98   1.1e-36   4.3e-22   2.5e-24 eRF1 domain 1
eRF1_2               PF03464.15   133 PF3D7_0722100        -            403   8.8e-22   64.1   0.2   1   1   1.5e-21   1.5e-21   63.3   0.2     2   127   136   261   135   268 0.93   4.1e-18         1         1 eRF1 domain 2
eRF1_3               PF03465.15   113 PF3D7_0722100        -            403   3.7e-27   81.3   0.0   1   1   9.6e-27   9.6e-27   80.0   0.0     2   113   272   370   271   370 0.95   2.6e-23         1         1 eRF1 domain 3
RRM_1                PF00076.22    70 PF3D7_1310700        -            143   2.1e-10   26.6   0.1   1   1   4.1e-10   4.1e-10   25.7   0.1     1    59    40    96    40   112 0.91   2.7e-08   4.6e-07   6.6e-09 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
RNA_pol_3_Rpc31      PF11705.8    226 PF3D7_1310700        -            143   3.6e-06   13.5   8.6   1   1   3.5e-06   3.5e-06   13.5   8.6   160   203    94   141    32   143 0.65     0.019         1         1 DNA-directed RNA polymerase III subunit Rpc31
DUF4505              PF14956.6    178 PF3D7_1439600        -            180   4.4e-05    9.5   8.1   1   1   2.8e-05   2.8e-05   10.1   6.0    30    65    15    51    11    72 0.76      0.15         1         1 Domain of unknown function (DUF4505)
B12D                 PF06522.11    69 PF3D7_1439600        -            180   3.3e-08   19.6   0.0   1   1   5.8e-08   5.8e-08   18.8   0.0    14    53    53    92    40   109 0.76   0.00032         1         1 NADH-ubiquinone reductase complex 1 MLRQ subunit
DIM1                 PF02966.16   133 PF3D7_1231500        -            139   4.5e-70  219.8   0.3   1   1     5e-70     5e-70  219.7   0.3     1   133     1   133     1   133 0.99   2.7e-66      0.24    0.0079 Mitosis protein DIM1
PDCD2_C              PF04194.13   175 PF3D7_0510400        -            439   2.2e-25   75.9   7.4   1   2   6.6e-06   6.6e-06   12.5   0.0    87   123    22    55    17    65 0.79     0.012         1         1 Programmed cell death protein 2, C-terminal putative domain
PDCD2_C              PF04194.13   175 PF3D7_0510400        -            439   2.2e-25   75.9   7.4   2   2   7.9e-24   7.9e-24   70.8   5.9     2   156   257   424   256   436 0.66   2.1e-20     0.036     0.001 Programmed cell death protein 2, C-terminal putative domain
DNA_pol_A_exo1       PF01612.20   176 PF3D7_1444700        -            186   2.9e-05   10.0   0.1   1   1     4e-05     4e-05    9.5   0.1    91   126    39    74    10   115 0.77     0.031      0.14    0.0047 3'-5' exonuclease
DUF759               PF05537.11   429 PF3D7_1444700        -            186   2.1e-05    9.6   0.3   1   1   5.5e-05   5.5e-05    8.2   0.0   373   408   142   178   132   181 0.89       0.3         1         1 Borrelia burgdorferi protein of unknown function (DUF759)
CPSase_L_D3          PF02787.19   122 PF3D7_1233800        -            206   2.4e-06   14.2   0.3   1   1   3.2e-06   3.2e-06   13.8   0.3    39   110   112   186    73   194 0.78    0.0087      0.16    0.0054 Carbamoyl-phosphate synthetase large chain, oligomerisation domain
UPF0524              PF15823.5    239 PF3D7_0111200        -             97   4.5e-06   12.3   0.4   1   1   4.7e-06   4.7e-06   12.3   0.4   113   145    16    48     4    78 0.83     0.026         1         1 UPF0524 of C3orf70
ORC5_C               PF14630.6    285 PF3D7_0111200        -             97   7.4e-06   11.7   0.0   1   1   8.4e-06   8.4e-06   11.5   0.0    48    96    39    87    32    97 0.84     0.023     0.041    0.0012 Origin recognition complex (ORC) subunit 5 C-terminus
ATS                  PF15445.6    446 PF3D7_0200300        -            440  6.6e-111  357.8  40.3   1   1  2.9e-109  2.9e-109  352.4  40.3    14   330    44   390    35   438 0.80  2.3e-107  1.4e-105  9.4e-108 acidic terminal segments, variant surface antigen of PfEMP1
WH1                  PF00568.23   111 PF3D7_0404300        -            631   1.8e-05   10.9   0.1   1   1   3.2e-05   3.2e-05   10.1   0.1    23   107   532   622   522   626 0.77      0.17         1         1 WH1 domain
PRESAN               PF09687.10   125 PF3D7_0801000        -           1219   1.6e-34  105.4  14.3   1   1   1.6e-34   1.6e-34  105.4  14.3     1   125  1081  1205  1081  1205 0.99   4.4e-31   2.3e-27   1.1e-29 Plasmodium RESA N-terminal
MtN3_slv             PF03083.16    87 PF3D7_0216600        -            686     3e-44  135.3  28.3   1   2   4.1e-20   4.1e-20   58.0   5.7     3    81   384   462   382   468 0.94   1.1e-16         1         1 Sugar efflux transporter for intercellular exchange
MtN3_slv             PF03083.16    87 PF3D7_0216600        -            686     3e-44  135.3  28.3   2   2   1.3e-29   1.3e-29   88.4   5.7     2    86   502   586   501   587 0.98   7.1e-26   2.2e-16   2.3e-18 Sugar efflux transporter for intercellular exchange
RNase_PH             PF01138.21   132 PF3D7_0209200        -            275   1.8e-24   72.9   0.0   1   1   2.6e-24   2.6e-24   72.4   0.0     1   131    40   163    40   164 0.89   7.1e-21   9.2e-17     7e-19 3' exoribonuclease family, domain 1
Sars6                PF12133.8     62 PF3D7_0209200        -            275   1.8e-05   11.0   0.9   1   1   2.9e-05   2.9e-05   10.3   0.1    24    59   161   195   148   198 0.76      0.16         1         1 Open reading frame 6 from SARS coronavirus
SNAPc_SNAP43         PF09808.9    191 PF3D7_1204500        -            279   9.6e-11   28.1   7.5   1   1   1.6e-10   1.6e-10   27.3   7.5     3   186    38   245    37   276 0.77   8.7e-07         1         1 Small nuclear RNA activating complex (SNAPc), subunit SNAP43
Adeno_GP19K          PF04881.13   132 PF3D7_0601900        -            128   4.8e-06   12.8   0.2   1   1   6.5e-06   6.5e-06   12.4   0.2    72   122     5    60     2    72 0.74     0.035         1         1 Adenovirus GP19K
FAM176               PF14851.6    145 PF3D7_0601900        -            128   6.6e-07   15.3   0.2   1   1   7.6e-07   7.6e-07   15.1   0.2    28   109    40   126    15   128 0.48    0.0041      0.13    0.0043 FAM176 family
5_3_exonuc_N         PF02739.16   159 PF3D7_0203900        -            577   2.3e-34  104.8   1.6   1   2   9.4e-29   9.4e-29   86.5   0.1     2   115   110   226   109   239 0.94   5.1e-25    0.0035   0.00013 5'-3' exonuclease, N-terminal resolvase-like domain
5_3_exonuc_N         PF02739.16   159 PF3D7_0203900        -            577   2.3e-34  104.8   1.6   2   2   6.4e-07   6.4e-07   15.6   0.0   115   142   402   430   371   454 0.71    0.0017      0.42    0.0092 5'-3' exonuclease, N-terminal resolvase-like domain
5_3_exonuc           PF01367.20    97 PF3D7_0203900        -            577   3.3e-24   71.7   1.6   1   1     1e-23     1e-23   70.1   0.0     2    93   457   547   456   551 0.94   5.4e-20   1.8e-07     2e-09 5'-3' exonuclease, C-terminal SAM fold
ATP_bind_3           PF01171.20   182 PF3D7_0612600        -            482   1.1e-19   57.0   0.0   1   1   1.1e-19   1.1e-19   57.0   0.0     1   131    50   192    50   203 0.87     3e-16    0.0005   1.8e-05 PP-loop family
BUD22                PF09073.10   432 PF3D7_0612600        -            482   5.9e-05    8.6  14.2   1   1   8.8e-05   8.8e-05    8.0  14.2   145   290   222   354   171   356 0.42     0.037         1         1 BUD22
zn-ribbon_14         PF16503.5     32 PF3D7_0612600        -            482     4e-13   35.0   2.4   1   1     4e-13     4e-13   35.0   2.4     3    26   430   453   428   454 0.95   2.2e-09         1         1 Zinc-ribbon
HELP                 PF03451.14    74 PF3D7_0216500        -           1643   3.5e-06   13.1   0.5   1   1   9.2e-06   9.2e-06   11.8   0.5    22    73    26    75     7    76 0.77      0.05         1         1 HELP motif
DUF3932              PF13068.6     81 PF3D7_0812300        -            461   1.7e-05   11.4   0.1   1   1   4.4e-05   4.4e-05   10.0   0.1    21    74   290   345   278   354 0.89      0.24         1         1 Protein of unknown function (DUF3932)
DIL                  PF01843.19   104 PF3D7_1329800        -           1208   4.2e-07   16.5   1.0   1   1   4.2e-07   4.2e-07   16.5   1.0     3    68   520   582   519   611 0.76    0.0023         1         1 DIL domain
Cyt-b5               PF00173.28    74 PF3D7_1232300        -            157   1.1e-20   59.9   0.1   1   1   1.6e-20   1.6e-20   59.3   0.1     3    71    12    78    10    80 0.96   4.4e-17     3e-12   2.4e-14 Cytochrome b5-like Heme/Steroid binding domain
Tma16                PF11176.8    146 PF3D7_1232300        -            157   4.7e-08   19.2   3.2   1   1   4.7e-08   4.7e-08   19.2   3.2    46   102    75   134    60   137 0.88   0.00026         1         1 Translation machinery-associated protein 16
RRM_1                PF00076.22    70 PF3D7_0933000        -            761   1.8e-20   58.9   0.1   1   1   7.9e-20   7.9e-20   56.8   0.1     1    70    10    80    10    80 0.98   1.5e-17   1.4e-16   1.7e-18 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
DUF3216              PF11505.8     91 PF3D7_0933000        -            761   1.6e-05   11.4   0.0   1   1   8.3e-05   8.3e-05    9.1   0.0    38    76   142   182   127   192 0.77      0.23         1         1 Protein of unknown function (DUF3216)
CSTF2_hinge          PF14327.6     81 PF3D7_0933000        -            761   3.2e-14   39.5   0.3   1   1   1.4e-13   1.4e-13   37.5   0.3    17    73   216   272   206   280 0.93   7.6e-10   0.00087   2.9e-05 Hinge domain of cleavage stimulation factor subunit 2
partial_CstF         PF15861.5     62 PF3D7_0933000        -            761   5.4e-31   92.5   4.2   1   1   5.4e-31   5.4e-31   92.5   4.2     3    62   699   758   697   758 0.98   2.9e-27   3.6e-25   2.2e-27 Partial cleavage stimulation factor domain
